nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,titleCount
nm0005220,Tamara Mello,1976,\N,"actress,producer,sound_department","tt0202748,tt0255653,tt0112022,tt0160862",4
nm0005221,Christopher Meloni,1961,\N,"actor,director,producer","tt0770828,tt0203259,tt0243655,tt0366551",4
nm0005224,Alex Meneses,1965,\N,"actress,producer","tt0115167,tt9617560,tt3566726,tt0120094",4
nm0005225,Jo Dee Messina,1970,\N,"soundtrack,actress","tt0115285,tt0108968,tt0413099,tt0132245",4
nm0005226,Debra Messing,1968,\N,"actress,producer,soundtrack","tt0810726,tt0157246,tt0372532,tt0278823",4
nm0005227,Breckin Meyer,1974,\N,"actor,writer,producer","tt0250687,tt0215129,tt0101917,tt0112697",4
nm0005230,Michael Michele,1966,\N,actress,"tt0279331,tt0108757,tt0102526,tt0251127",4
nm0005231,Dash Mihok,1974,\N,"actor,soundtrack,director","tt1045658,tt0319262,tt0117509,tt0373469",4
nm0005232,Izabella Miko,1981,\N,"actress,soundtrack,producer","tt0200550,tt0800320,tt5638056,tt0348914",4
nm0005233,Tangi Miller,1970,\N,"actress,producer,executive","tt0455612,tt0320000,tt0134247,tt0804502",4
nm0005235,Judson Mills,1969,\N,actor,"tt0106168,tt0304584,tt0475784,tt0120742",4
nm0005238,Beverley Mitchell,1981,\N,"actress,producer,soundtrack","tt0432348,tt0323810,tt0115083,tt0115986",4
nm0005239,Kel Mitchell,1978,\N,"actor,soundtrack,producer","tt0233041,tt0119215,tt0132347,tt0115231",4
nm0005243,Meredith Monroe,1969,\N,actress,"tt1878870,tt0118300,tt0181689,tt1399103",4
nm0005245,Shemar Moore,1970,\N,"actor,producer","tt0452046,tt0422093,tt6111130,tt0069658",4
nm0005246,Esai Morales,1962,\N,"actor,producer,director","tt0093378,tt0805663,tt0106079,tt0085210",4
nm0005248,Mari Morrow,1968,\N,"actress,producer","tt0431114,tt0114857,tt1464174,tt0271668",4
nm0005250,Fabrice Morvan,1966,\N,"actor,miscellaneous","tt0126727,tt0092348,tt0965381,tt12851244",4
nm0005251,Carrie-Anne Moss,1967,\N,"actress,producer","tt0209144,tt0133093,tt0242653,tt0457572",4
nm0005253,Elisabeth Moss,1982,\N,"actress,producer,soundtrack","tt2756032,tt6857112,tt1051906,tt5834204",4
nm0005254,Tahj Mowry,1986,\N,"actor,soundtrack","tt2177489,tt0092359,tt0194422,tt0118466",4
nm0005255,Tamera Mowry-Housley,1978,\N,"actress,producer,soundtrack","tt0302640,tt0194422,tt1017465,tt0108927",4
nm0005256,Bridget Moynahan,1971,\N,"actress,soundtrack","tt1217613,tt0164184,tt0343818,tt0399295",4
nm0005257,Alan Mruvka,\N,\N,"producer,writer,actor","tt0116848,tt0109723,tt0112112,tt0143044",4
nm0005258,Patrick Muldoon,1968,\N,"actor,producer,soundtrack","tt11196036,tt0120201,tt9139586,tt0103491",4
nm0005260,Frankie Muniz,1985,\N,"actor,producer,soundtrack","tt0313911,tt0265298,tt0441796,tt0156812",4
nm0005261,Brittany Murphy,1977,2009,"actress,soundtrack,producer","tt0172493,tt0112697,tt0298203,tt0305711",4
nm0005262,Billie Myers,1971,\N,"actress,soundtrack,composer","tt0138063,tt0257019,tt0176579,tt0186975",4
nm0005263,Dave Navarro,1967,\N,"music_department,producer,actor","tt0117998,tt0405336,tt0187078,tt0257076",4
nm0005264,Elise Neal,1966,\N,"actress,producer","tt0410097,tt3315342,tt0120082,tt0119695",4
nm0005267,Shannon Nelson,\N,\N,"actress,producer","tt2458862,tt0157503,tt5993740,tt0303140",4
nm0005269,Corin Nemec,1971,\N,"actor,producer,writer","tt0118480,tt0098749,tt0098888,tt0097553",4
nm0005272,Thomas Ian Nicholas,1980,\N,"actor,producer,soundtrack","tt0878835,tt3576794,tt0292644,tt8597594",4
nm0005273,Alessandro Nivola,1972,\N,"actor,producer,soundtrack","tt1800241,tt0119094,tt6108178,tt8110232",4
nm0005274,Gena Lee Nolin,1971,\N,actress,"tt0261492,tt0096542,tt0337851,tt0201290",4
nm0005275,Brandy Norwood,1979,\N,"actress,music_department,producer","tt0128996,tt0181739,tt0130018,tt0115275",4
nm0005278,Jerry O'Connell,1974,\N,"actor,producer,director","tt0112167,tt0257568,tt0092005,tt0120082",4
nm0005280,Rosie O'Donnell,1962,\N,"actress,writer,producer","tt0120855,tt0108160,tt0109813,tt0104694",4
nm0005281,Jodi Lyn O'Keefe,1978,\N,actress,"tt0120694,tt0202402,tt0455275,tt0160862",4
nm0005282,Mike O'Malley,1966,\N,"actor,producer,writer","tt0120647,tt3263904,tt0765476,tt1327801",4
nm0005283,Jacqueline Obradors,1966,\N,"actress,soundtrack","tt0106079,tt0120828,tt0230011,tt0255653",4
nm0005284,Chris Olivero,1984,\N,actor,"tt0756509,tt0364845,tt0182617,tt0247081",4
nm0005286,Haley Joel Osment,1988,\N,"actor,soundtrack,producer","tt0327137,tt0223897,tt0212720,tt0167404",4
nm0005289,Catherine Oxenberg,1961,\N,"actress,producer,writer","tt0095488,tt0292109,tt0203408,tt0081856",4
nm0005290,Master P,1970,\N,"actor,producer,soundtrack","tt0267913,tt0329717,tt0337921,tt0131436",4
nm0005291,Erika Page White,1975,\N,actress,"tt0115237,tt0062595,tt0115349,tt0058796",4
nm0005292,Erik Palladino,1968,\N,"actor,producer,writer","tt1632701,tt2197797,tt0108757,tt0141926",4
nm0005294,Paula Jai Parker,1969,\N,"actress,director,producer","tt0113118,tt0183649,tt0410097,tt0257756",4
nm0005296,Tatjana Patitz,1966,\N,actress,"tt0103466,tt0107969,tt0167150,tt0110907",4
nm0005299,Sarah Paulson,1974,\N,"actress,soundtrack,director","tt8633478,tt2024544,tt1844624,tt6823368",4
nm0005300,Allen Payne,1968,\N,actor,"tt0106500,tt0177971,tt0102526,tt0114825",4
nm0005302,Austin Peck,1971,\N,actor,"tt0058796,tt0048845,tt0203259,tt2261391",4
nm0005305,Piper Perabo,1976,\N,"actress,producer","tt6189022,tt0200550,tt1495708,tt0482571",4
nm0005306,Pauley Perrette,1969,\N,"actress,producer,director","tt0181875,tt0364845,tt0328880,tt2224455",4
nm0005311,Busy Philipps,1979,\N,"actress,soundtrack,director","tt1441109,tt0381707,tt1001508,tt0866439",4
nm0005313,Bijou Phillips,1980,\N,"actress,soundtrack,costume_department","tt0181875,tt0242193,tt0498353,tt0285175",4
nm0005315,Jeremy Piven,1965,\N,"actor,producer,soundtrack","tt0098258,tt0240890,tt0387199,tt0119229",4
nm0005317,Carlos Ponce,1972,\N,"actor,soundtrack,music_department","tt3079380,tt1078940,tt1436562,tt0367652",4
nm0005318,Carly Pope,1980,\N,"actress,producer,camera_department","tt0380869,tt0202748,tt1535108,tt0273923",4
nm0005320,Paulina Porizkova,1965,\N,"actress,director,writer","tt0106307,tt0097500,tt0124901,tt0118127",4
nm0005321,Monica Potter,1971,\N,"actress,producer","tt0192111,tt0844708,tt0387564,tt0129290",4
nm0005322,Sarah-Jane Potts,1976,\N,actress,"tt0367424,tt0452568,tt5277850,tt0434124",4
nm0005325,Keri Lynn Pratt,1978,\N,actress,"tt1315981,tt0265029,tt0164114,tt0410997",4
nm0005326,Jaime Pressly,1977,\N,"actress,soundtrack,producer","tt0277371,tt1155056,tt0245686,tt0460091",4
nm0005327,Freddie Prinze Jr.,1976,\N,"actor,writer,producer","tt0119345,tt0267913,tt0130018,tt0160862",4
nm0005330,Buddy Quaid,1974,\N,actor,"tt0160484,tt0167116,tt0092654,tt0141303",4
nm0005331,Francesco Quinn,1963,2011,"actor,miscellaneous,director","tt0452046,tt0892318,tt0091763,tt1399103",4
nm0005332,Ingo Rademacher,1971,\N,actor,"tt0056758,tt1600194,tt0243732,tt1712170",4
nm0005333,Cassidy Rae,1976,\N,actress,"tt0166044,tt0103491,tt0115643,tt0245891",4
nm0005335,Natalie Raitano,1966,\N,"actress,producer","tt1302137,tt0134269,tt0446012,tt0816263",4
nm0005337,Theresa Randle,1964,\N,"actress,soundtrack","tt0112442,tt0172156,tt0120177,tt0093605",4
nm0005338,Sheeri Rappaport,1977,\N,"actress,stunts","tt0106079,tt0112230,tt0247082,tt0252019",4
nm0005339,Kim Raver,1969,\N,"actress,director,producer","tt0285331,tt0197182,tt0477347,tt2070791",4
nm0005342,Norman Reedus,1969,\N,"actor,producer,soundtrack","tt0187738,tt1520211,tt0144117,tt1300851",4
nm0005346,Tara Reid,1975,\N,"actress,producer,soundtrack","tt0118715,tt0146336,tt0163651,tt0283111",4
nm0005349,Gloria Reuben,1964,\N,"actress,music_department,producer","tt1814621,tt1462059,tt4158110,tt0443272",4
nm0005350,Simon Rex,1974,\N,"actor,soundtrack,producer","tt0306047,tt0426592,tt1232829,tt0795461",4
nm0005351,Ryan Reynolds,1976,\N,"actor,producer,writer","tt0458525,tt1462758,tt1431045,tt5463162",4
nm0005352,Caroline Rhea,1964,\N,"actress,producer,writer","tt0115341,tt0388419,tt0380623,tt1078273",4
nm0005353,Nick Rhodes,1962,\N,"soundtrack,actor,composer","tt0246578,tt0158983,tt0120053,tt0375912",4
nm0005354,Busta Rhymes,1972,\N,"soundtrack,actor,composer","tt0220506,tt1408253,tt0272207,tt0316732",4
nm0005355,Alfonso Ribeiro,1971,\N,"actor,director,soundtrack","tt0098800,tt0112015,tt0120891,tt0362404",4
nm0005356,Marissa Ribisi,1974,\N,"actress,writer","tt0106677,tt0112572,tt0120789,tt0139668",4
nm0005357,Jerry Rice,1962,\N,actor,"tt1276107,tt0772137,tt0484082,tt0790772",4
nm0005361,LeAnn Rimes,1982,\N,"soundtrack,actress,music_department","tt5439796,tt0333780,tt0132245,tt0200550",4
nm0005362,Lisa Rinna,1963,\N,"actress,director,soundtrack","tt0058796,tt0119781,tt0412253,tt0103491",4
nm0005365,Vincent Riverside,1972,\N,actor,"tt0295427,tt0212974,tt1075747,tt0320000",4
nm0005367,Brian Robbins,1963,\N,"producer,actor,writer","tt0139699,tt0477051,tt0393162,tt0174432",4
nm0005370,Kathleen Robertson,1973,\N,"actress,producer,writer","tt0427969,tt0488887,tt0257106,tt0910812",4
nm0005372,Holly Robinson Peete,1964,\N,"actress,music_department,producer","tt0137302,tt1232829,tt0092312,tt0091225",4
nm0005374,Luc Robitaille,1966,\N,"producer,actor","tt0109520,tt3595776,tt0114576,tt2829004",4
nm0005375,Lela Rochon,1964,\N,"actress,producer","tt0114885,tt0118900,tt0120609,tt0146838",4
nm0005376,Kid Rock,1971,\N,"soundtrack,actor,composer","tt0326769,tt0245686,tt0325805,tt0181739",4
nm0005377,Sam Rockwell,1968,\N,"actor,producer,soundtrack","tt1182345,tt0270288,tt1931533,tt5027774",4
nm0005378,Brande Roderick,1974,\N,"actress,producer","tt0335438,tt0364782,tt0489237,tt0462409",4
nm0005379,Dennis Rodman,1961,\N,"actor,soundtrack,director","tt0119013,tt0116168,tt0168172,tt0790804",4
nm0005381,Rebecca Romijn,1972,\N,"actress,producer,soundtrack","tt0120903,tt0280665,tt0376994,tt0290334",4
nm0005382,Summer Rose,1966,\N,"actress,music_department","tt0140215,tt0184179,tt0134314,tt0183227",4
nm0005383,Charlotte Ross,1968,\N,"actress,soundtrack","tt1502404,tt0108775,tt0106079,tt2193021",4
nm0005388,Brad Rowe,1970,\N,"actor,producer","tt1912398,tt0942384,tt0465234,tt0158131",4
